id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
19941,122637,U235,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20022,49048,Hammerin' Harry: Ghost Building Company,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,64.0000,1
20050,42269,Super F1 Circus,NULL,1992-07-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20125,41980,Browning,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20328,48620,Moon Crystal,NULL,1992-09-28 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
20493,46418,INXS: Make My Video,NULL,1992-11-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20722,284,Wolfenstein 3D,"The game follows B.J. Blazkowicz, an American spy during World War II and his efforts to destroy the Nazi regime. Wolfenstein 3D is divided into two sets of three episodes. In ""Escape"", Blazkowicz has been captured while trying to find the plans for Operation Eisenfaust (Iron Fist) and imprisoned in Castle Wolfenstein, from which he must escape. ""Operation: Eisenfaust"" follows his discovery and thwarting of the Nazi plan to create an army of undead mutants in Castle Hollehammer, while in ""Die, Führer, Die!"" he infiltrates a bunker under the Reichstag, culminating in a battle with Adolf Hitler in a robotic suit equipped with four chain guns.",1992-05-05 00:00:00.000,82,NULL,56.0000,1,77.3665,238
20996,44415,Daibakushou: Jinsei Gekijou,NULL,1992-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21043,43193,Power Sports,NULL,1992-11-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21234,72805,Macross 2036,NULL,1992-04-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21357,39662,Truxton II,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21461,46981,Quarky & Quaysoo's Turbo Science,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21462,48505,Esper Dream 2: Aratanaru Tatakai,NULL,1992-07-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21560,40986,Final Star Force,NULL,1992-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22028,46405,BlackHole Assault,NULL,1992-11-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22100,45253,Phantasy Star Adventure,"In the year AW 1268, taking place at the same time as Phantasy Star II, the game puts the players in the shoes of an agent of Paseo. He receives a letter from friend and scientist, Ken Miller, who is studying on the ice planet Dezolis and invites him to see an important new invention. Once there, the player learns that Ken and his device are missing, initiating an investigation.",1992-03-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22157,15220,Imperium,NULL,1992-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22201,96508,The Games '92 - España,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22228,48265,Ultimate League Soccer,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22241,70069,Yogi's Big Clean Up,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22248,45943,Big Bang Show,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22275,171242,RoboWar,NULL,1992-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22310,49140,Ikari no Yousai 2,NULL,1992-03-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22883,45262,Magical Puzzle Popils,NULL,1992-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23035,46185,Dahna: Megami Tanjou,NULL,1992-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
